Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Computer/Software Engineer & Computer Science (Recent Grad/Full Time),-1,"Join a team recognized for leadership, innovation and diversity
The future is what you make it.
When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.
Working at Honeywell isn’t just about developing cool things. That’s why our employees enjoy access to dynamic career opportunities across different fields and industries.
Are you ready to help us make the future?
ABOUT THE ROLE:
Join a team that designs, develops and integrates highly complex software applications within Honeywell. You will be a dynamic and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities. Use your skillset to provide value added software features to our products for our customers. Accelerate innovation and growth, teaming with the world's most talented engineers. We invite you to discover for yourself why a career with Honeywell is the opportunity you've been looking for!
MINIMUM QUALIFICATIONS:
Bachelor or Masters of Science degree in Engineering or Computer Science
Must attain a Bachelor’s or Master's degree between December 2024 and August 2025 from an accredited college or university
Must have obtained degree within 12 months of the date of hire
WE VALUE
Understanding various software development lifecycle
Demonstrated ability to develop efficient and high-quality software
Knowledge of software configuration management and change management practices
Diverse and global teaming and partnership
Excellent oral and written communication skills
People who can quickly evaluate, incorporate and apply new information and concepts
Ability to consistently make timely decisions even in the face of complexity, balancing systematic analysis with resoluteness
Validated academic excellence (3.0 GPA and higher)

HoneywellURNAM
Additional Information
JOB ID: req412188
Category: Engineering
Location: United States
Exempt
Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.
Show less",4.0,Honeywell,United States,10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Adjunct Faculty - Computer Science - Online,-1,"Position Title
Adjunct Faculty - Computer Science - Online

FLSA
Exempt

Full Time/Part Time
Part Time

Department
Computer Science

Campus
Central Campus

Location
Online

Salary

Hours
Part-time, include requirement and total hours per week - 29

Summary of Position
This position requires demonstrated knowledge in Computer Science or Computer Systems or Information Technology or a closely related field. This is an online position. Must have personal computer and steady, dependable Internet access. Must have the ability to communicate effectively and present materials clearly. Applications for this position are submitted directly to the site listed. A complete employment application, Prior Occupational Experience – CITS Dept. Skill Map form and transcripts must be submitted for consideration for this position.

Minimum Required Education
Required: Bachelor’s Degree in Computer Science or Computer Systems or Information Technology or a related field from a nationally, regionally, or identified at the state level accredited institution of higher education.

Preferred: Master including 18 graduate hours in Information Technology and Systems/Science or related with course work that aligns with Computer Information Technology and Systems courses listed in the CTC catalog.

Minimum Required Experience
Wage-earning work experience related to the competencies and learning outcomes of various CTC Computer Information Technology and Systems courses. This experience must be exclusive of teaching.

Required Knowledge, Skills and Abilities
Must possess a demonstrated knowledge and practical application in the subject matter being taught.
Must possess the ability to communicate with students in a clear and concise manner.
Must be able to author tests and lesson plans.
Must possess the ability to provide academic and vocational guidance to students as needed; respond to questions in a timely manner, to include weekends and holidays.
Demonstrated written and oral communications skills with extensive Internet skills.
Demonstrated proficiency in one or more of the following is required:
~Programming skills such as: Visual Studio .NET, Visual Basic, HTML and CSS, C+, C#, JAVA, and others.
~Information Technology and Security to include: Cybersecurity, Ethical Hacking, and IT Security and Auditing.
~Network and/or Systems Administration to include server and client implementation and maintenance.
~Server Cloud Services and storage such as: IaaS, PaaS, Saas,
~Knowledge of Windows and/or Linux Operating Systems variants.
~Skilled with productivity suites, such as Google Docs or Microsoft Office products.

Other Information
A successful background check is required for all CTC employment.
This is a continuous job posting.
Show less",3.1,Honeywell,Remote,501 to 1000 Employees,1965,College / University,Colleges & Universities,Education,$25 to $100 million (USD)
DL Infrastructure Engineer - New College Grad 2024,,"NVIDIA has continuously reinvented itself over two decades. Our invention of the GPU in 1999 fueled the growth of the PC gaming market, redefined modern computer graphics, and revolutionized parallel computing. Our Deep Learning Infrastructure team works closely to work on web applications and services that elevate the automation of NVIDIA's groundbreaking chip design process. With users in mind, our work is paramount to the user experience. As a DL Infrastructure Engineer, you'll be part of the team that works closely together to craft these applications. The work done here will impact and improve our automation processes for designing our groundbreaking chips. Our work centers around users to improve their experience, all of which will be highly visible to our partners.
What you'll be doing:
Design, build, and maintain high bandwidth data-pipelines and related infrastructure, such as API, databases for innovative data and deep learning platform.
Work closely with domain guides, research teams and take ownership of productizing, releasing and maintaining deep learning products.
Be an engineering generalist. Discover and build skills needed at different times towards solving problems at hand.
Bachelor’s or Master's degree in computer science, engineering, or related field or equivalent experience
Strong fundamentals in machine learning.
Proficiency in Python or another similar programming language.
Experience crafting and implementing highly resilient, performant and scalable software.
Ways to stand out from the crowd:
Experience in dev-ops, full-stack development, databases and/or cloud computing.
NVIDIA is widely considered one of the technology world’s most desirable employers. We employ some of the most forward-thinking and talented people in the world. Are you passionate about joining our life work to amplify human imagination and intelligence? If you are creative, collaborative, and have a real passion for design methodology and automation, we want to hear from you.
The base salary range is 100,000 USD - 224,250 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and
benefits
. NVIDIA accepts applications on an ongoing basis.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
Show less",4.6,Honeywell,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
Helpdesk Technician,$21.63 Per Hour (Employer est.),"Helpdesk Technician
Bringing smiles is what we do at TTEC… for you and the customer. As a Helpdesk – Service Desk Associate Technician working remote in the United States you’ll be a part of creating and delivering amazing customer experiences while you also #experienceTTEC, an award-winning employment experience and company culture.
What You’ll be Doing
Do you have a passion to help others solve issues? Want to learn and grow your own knowledge in various IT fields? In this role, you’ll be the hero for all frontline associates as you will help navigate and deliver basic IT support daily. You’ll be exposed to many different IT scenarios, perfect for growing your own tech expertise and becoming well rounded in the industry. Your great listening skills and ability to read between the lines will allow you to find the route of the associate's problem and translate it to an IT solution.
You’ll report to the Sr. Helpdesk-Service Desk Manager. You’ll contribute to success of the business by leading and resolving the associates' technical issues and bringing amazing support.
During a Typical Day, You’ll
Proactively recognize, translate, and resolve technical issues affecting associates on site through reading between the lines and connecting the dots with your basic IT and desktop navigation knowledge
Bridge an end-to-end resolution during the help ticket life cycle while performing administrative functions
Work to resolve issues over zoom by walking the associate through troubleshooting processes
Monitor and prioritize ticketed requests based on status, updates and escalations
What You Bring to the Role
Information technology related bachelor's degree or equivalent experience in IT
6 months all center industry experience
Basic IT knowledge and desktop support – basic hardware and software navigation and troubleshooting
Passion to Seek First to Understand and translate – read between the lines to find a possible solution, teach and walk through how to reach that solution
Execute walk throughs and solutions to the IT problem over zoom meetings
Passionate and motivated to help others with your customer focused mindset and positive attitude
What You Can Expect
An annual incentive program
Medical, dental, and vision
Tax-advantaged health care accounts
Financial and income protection benefits
Paid time off (PTO) and wellness time off
Tuition reimbursement and access to thousands of free online courses
Visit www.hellottecbenefits.com for more information.
The anticipated range is $21.63 an hour. Actual compensation offers to a candidate may vary based upon geographic location, work experience, education and/or skill levels.
About TTEC
Our business is about making customers happy. That's all we do. Since 1982, we've helped companies build engaged, pleased, profitable customer experiences powered by our combination of humanity and technology. On behalf of many of the world's leading iconic and hypergrowth brands, we talk, message, text, and video chat with millions of customers every day. These exceptional customer experiences start with you.
TTEC is proud to be an equal opportunity employer where all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. TTEC embraces and is committed to building a diverse and inclusive workforce that respects and empowers the cultures and perspectives within our global teams. We aim to reflect the communities we serve, by not only delivering amazing service and technology, but also humanity. We make it a point to make sure all our employees feel valued, belonging, and comfortable being their authentic selves at work. As a global company, we know diversity is our strength because it enables us to view things from different vantage points and for you to bring value to the table in your own unique way.
#LI-Remote
Primary Location
: United States
Show less",3.5,Honeywell,United States,10000+ Employees,1982,Company - Public,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD)
"Computer Science, Software Engineers, Programmers",$67K - $102K (Glassdoor est.),"Thermoflow is seeking to recruit fresh graduates in Computer Science, with the following qualifications:
Outstanding academic record.
Knowledge of software development for web-based applications.
Some understanding of internet/intranet architecture and associated security issues.
Thermoflow has a suite of well-established, widely-used software products for designing power plants; and is developing the next generation of these products, transitioning from the PC-based environment to a web-hosted environment. Although many technical staff at Thermoflow have Ph.D. degrees, we are seeking recent graduates at any level, and are especially interested in hiring fresh S.M. graduates with a genuine passion for software.
Strong preference will be given to US citizens or permanent residents.
Thermoflow is a small but very successful company, founded by a former MIT faculty member. Over half our technical staff have MIT graduate degrees, and our technical staff is stable, with very low turnover . Based in Southborough, MA, our work environment is informal, flexible, friendly, and focused on excellence. Over the past twenty-five years we have established a worldwide base of thousands of satisfied customers for our software product suite, used by hundreds of the world’s leading power generation companies in eighty countries.
Please contact: careers_engrg@thermoflow.com
Show less",4.0,Honeywell,"Southborough, MA",1 to 50 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD)
Database Administrator (Remote),$83K - $125K (Employer est.),"Are you passionate about making a positive impact in the community you live in? Do you want to be on the forefront of paving the way to financial freedom for the members we serve? At GECU, our Core Values drive our Culture: Advocate, Integrity, Accountable, Dedicated and Passionate. Come grow your career with an award- winning team!

BASIC RESPONSIBILITIES
Responsible for planning, developing, and maintaining SQL databases in production and disaster recovery situations. Ensure database performance, availability, and security.
TYPICAL DUTIES
Analyzes logical and physical requirements for database applications to include control and coordination of space management.
Leads, coordinates and reviews database design and operation.
Maintains database system integrity, accessibility, security and access privileges. Ensures accuracy of data conversion specifications, software installations, upgrades and maintenance.
Develops, set up and initiate data recovery systems.
Monitors the overall performance of the database to recommend and initiate actions to improve/optimize performance by tuning databases, database queries, system hardware and operating system.
Utilizes PowerShell, Azure CLI, or other automation tools to streamline routine tasks.
Performs capacity planning and recommends scaling strategies as needed. Stays informed about Azure updates and incorporates new features into the existing infrastructure.
Follows proper driving and safety regulations while operating company vehicle.
Maintain and understand compliance to ensure that work complies with GECU’s established policies, procedures and applicable regulations, to include Bank Secrecy Act (BSA), Anti-Money Laundering (AML), Member Identification Program (MIP), and Office of Foreign Asset Control (OFAC).
Other duties as may be assigned or required in connection with the general operation of the credit union.

CRITICAL KNOWLEDGE, SKILL AND EDUCATIONAL REQUIREMENTS
Bachelor’s degree in Computer Science or a related field.
Minimum of 4 years of experience in database programming with SQL relational databases and network software support experience.
Experience in SQL database encryption.
Requires moving throughout the day, lifting up to 20 pounds, bending, reaching above and below shoulder level occasionally.
Proficiency in Windows Operating Systems, MS Active Directory, and networking protocols.
The nature of this job requires employee to be a team worker that can communicate with diplomacy and tact in interacting with business members and GECU colleagues.
Ability to rapidly adapt, gain technical competency and change directions as developments occur.
Ability to participate in a 24/7 on-call rotation to provide off hour and weekend support in the event of an emergency.
PRIMARY RESPONSIBILITY
Ensure minimal downtime of servers and ensure BC/DR plan is tested and ready. Providing quality service is the primary responsibility of this position. Quality service means treating members and coworkers with respect and courtesy at all levels whether in person or by telephone as outlined in the Employee Handbook.

Availability requirements: Monday - Friday: 8:00 a.m. - 5:30 p.m.
Including on call rotation

This application is valid for 12 months. After that date, unless otherwise notified, please understand that your status as an applicant will end. You may re-apply for employment in the future by completing a new application. All correspondence regarding the processing of the application will be sent via e-mail to the address provided on the application. Please ensure spam filters are set accordingly to prevent e-mails from going to the Junk Mail/Spam folder.
Show less",3.4,Honeywell,Remote,201 to 500 Employees,1933,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD)
Associate Data Science Analyst - CDH - Remote,$75K - $105K (Employer est.),"Why Mayo Clinic

Mayo Clinic is top-ranked in more specialties than any other care provider according to U.S. News & World Report. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans – to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, successful career with Mayo Clinic. You’ll thrive in an environment that supports innovation, is committed to ending racism and supporting diversity, equity and inclusion, and provides the resources you need to succeed.


Responsibilities
This position utilizes data analysis, data visualization, reporting, and data management skills. Supports projects under close supervision of senior data analysts or data scientists. Types of work include descriptive analytics, data query scripting, data analysis, data engineering and visualizations. Other responsibilities:
Builds and maintains dashboards in Tableau, Power BI, etc.
Executes analytical procedures in the framework of a specific project work request.
Modifies scripts or software applications to support data management, data extraction and data analysis as required.
Contributes to the interpretation of data analysis and to writing reports.
May help customers understand the data set and provide training and suggestions for improvement on the data request.
Leverages communication and interpersonal skills and works with subject matter experts
Presents findings in easy to understand terms for the business or clinical practice.
This vacancy is not eligible for sponsorship/ we will not sponsor or transfer visas for this position.

Qualifications
Bachelor’s degree in a domain-relevant field such as engineering, mathematics, computer science, statistics, physics, data science, health science, or other analytical/quantitative field.Ability to develop predictive models to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques, is preferred. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) is required. Incumbent must stay current on healthcare trends and enterprise changes. Interpersonal skills and time management skills are required. Requires strong analytical skills and a commitment to customer service.

Exemption Status

Exempt

Compensation Detail

$74,818 - $104,749/ year. Education, experience and tenure may be considered along with internal equity when job offers are extended.

Benefits Eligible

Yes

Schedule

Full Time

Hours/Pay Period

80

Schedule Details

M-F daytime hours

Weekend Schedule

NA

International Assignment

No

Site Description
Just as our reputation has spread beyond our Minnesota roots, so have our locations. Today, our employees are located at our three major campuses in Phoenix/Scottsdale, Arizona, Jacksonville, Florida, Rochester, Minnesota, and at Mayo Clinic Health System campuses throughout Midwestern communities, and at our international locations. Each Mayo Clinic location is a special place where our employees thrive in both their work and personal lives. Learn more about what each unique Mayo Clinic campus has to offer, and where your best fit is.

Affirmative Action and Equal Opportunity Employer

As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.


Recruiter

Laura Percival
Show less",3.9,Honeywell,"Rochester, MN",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Junior Developer- Remote,$63K - $98K (Glassdoor est.),"Why Join Sierra7?
Sierra7 is a Small Disabled Veteran Owned Business, founded in 2009 with the mission of ""Serving those who Serve"". Also ranked No. 457 out of 5,000 fastest growing private companies in America by Inc. Apply today and help us with our mission of ""Serving those who Serve"".

Benefits:
401K
Legal Assistance

Medical/Dental/Vision
Financial Wellness

FSA (Flexible Spending Account)

HSA (Health Savings Account)
Federal Holidays

Life Insurance, Voluntary Life Insurance, Voluntary Short- and Long-Term Disability
Education Reimbursement

Additional Supplemental Medical Benefits
LinkedIn Learning


About this role:
The Junior Developer will provide full software lifecycle support and services to the Veterans Affairs (VA). The qualified candidate will have experience in analyzing customer needs, developing overall concept, PHP, JavaScript, Vue, MySQL, RedHat, Windows Server, Fortify, GitHub, AWS (EC2, RDS, S3, ALB), AWS Fargate and EFS, and Kubernetes. The Junior Developer will follow established quality control standards and reviews for software development, be proactive with risk identification and mitigation, and must have experience with debugging and correcting software errors.

Position Responsibilities:
Maintain and build out current PHP application using multiple programming languages (JavaScript, Hypertext Markup Language (HTML) 5 and Cascading Style Sheets (CSS), PHP7/8, MySQL, Vue).
Participate in the development of a roadmap to move the application from its current monolithic structure to a micro-service/API driven structure.
Develop work products in adherence to established security and quality control standards for software development.
Assist in developing front-end scripts, Vue driven, to handle all UI needs.
General understanding of Docker and Kubernetes.
Participate in the requirements definition process to better understand the customer needs
Develop work products in adherence to established security and quality control standards for software development.
Must have experience debugging and correcting software errors.
Must be able to communicate and write software documentation.
Develop work products in adherence to 508 coding standards and tools.

Coding experience with PHP, SQL, JavaScript, Hypertext Markup Language (HTML) 5 and Cascading Style Sheets (CSS), AJAX.
Ability to work on many concurrent and changing priorities, as well as perform all functional duties independently.
Manage and meet aggressive timelines and deadlines.
Working knowledge of databases – MySQL.
Experience working within a Continuous Integration/Continuous Delivery program, and
comfortable with Git (GitHub).
Self-starter, motivates, and team player.
Excited about learning and trying new things and have a strong understanding of base standards.
Demonstrated, strong analytical capabilities and technical knowledge by providing supportable
technical solutions.
Qualifications:
Bachelor’s degree in software engineering, computer science, math or related technical discipline (8 years of additional experience may be substituted for education).
Ability to get a public trust clearance.
3 - 5 years of relevant experience.

This posting is for prospective candidates only. Unsolicited third-party resume submissions will be considered property of Sierra7, Inc. and will not be acknowledged or returned.

Disclaimer:
The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified.

Sierra7 will not provide sponsorship for employment-based immigration benefits for this position. To be considered for this position all candidates must be a US Citizen. This position is not a C2C opportunity.

Sierra7 is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.

Equal Opportunity Employer Veterans Disabled
Show less",3.6,Honeywell,"Falls Church, VA",501 to 1000 Employees,2009,Company - Public,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
IT Service Desk Support I,$21.38 - $25.59 Per Hour (Employer est.),"Is your career taking you where you want to go?
When it began in 1924, Saia LTL Freight covered a two-state area: Louisiana and Texas. Today, Saia is one of the most successful carriers in the U.S., providing nationwide less-than-truckload (LTL), non-asset truckload, and third-party logistics services. Headquartered in Johns Creek, Georgia, Saia is a fast growing company offering industry leading benefits and opportunities to inspire every member of our team. With over 12,000 employees dedicated to their jobs and our customers, you may discover your own career path at Saia.

Position Summary
Carries out computer operations and provides user support through troubleshooting and performing maintenance. Resolves hardware and software issues to optimize system efficiency and uptime.
Major Tasks and Responsibilities
Installs basic hardware, software, and telecommunications equipment.
Conducts remote troubleshooting using diagnostic techniques.
Records and documents all issues from initial contact through resolution.
Monitors company systems around the clock to ensure interrupted service for employees.
Reports internet and circuit outages and collaborates with Internet Service Providers to restore service.
Provides service access, follows up on requests, and maintains current information.
Conducts daily maintenance and reports system performance.
Preferred Qualifications
Associate degree in computer science or a related field.
Service desk or customer support experience.
Working knowledge of Microsoft Office.
Basic troubleshooting and technical support skills.

Pay Rate: $21.38 - $25.59 per hour, based on experience

Benefits
At Saia, your success is our success! That’s why we work hard to provide you with what you need to build an awesome career. We are committed to rewarding superior employee performance so that when you work hard, your achievements won’t go unnoticed.

Our Mission
At Saia Inc., success comes down to taking care of the people who matter most – our customers, our employees and our shareholders. The rest will take care of itself.

To safely drive our customers’ success with custom solutions built on the three pillars of our service-focused values: people, purpose and performance.
Saia is an Equal Opportunity Employer and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
Show less",3.3,Honeywell,"Johns Creek, GA",5001 to 10000 Employees,1924,Company - Public,Shipping & Trucking,Transportation & Logistics,$1 to $5 billion (USD)
QA Engineer,$75K - $95K (Employer est.),"Join a team that's making an IMPACT
Lumivero offers custom-built software solutions that allow users to leverage tools to answer the important questions they are working to decode. We bring trusted research, decision-making, and organizational tools together that enable professionals to do their work efficiently and productively and to make decisions more confidently. With a focus on transforming data, empowering real-time collaboration, and creating impactful insights, Lumivero creates a central data landscape across which our users can identify patterns and trends on which they can take decisive action.
We are seeking a skilled and meticulous QA Engineer to join our Assessment Products team. As a QA Engineer, you will play a key role in ensuring the quality and reliability of our software products. You will collaborate with our development team to test and validate software functionalities, identify bugs and issues, and contribute to the overall improvement of our software development processes. The ideal candidate is highly analytical, detail-oriented, and has a passion for delivering high-quality software solutions.
The QA Engineer is responsible for designing and implementing tests, debugging, and defining corrective actions for our software. They will review system requirements and track quality assurance metrics. By conducting tests before code is pushed to production, the QA Engineer will ensure the software runs smoothly and meets the requirements, while being cost-effective.
This role is full-time, exempt. This role reports to the Director of Engineering, Assessment Products. This role is remote.
Key Responsibilities
Design & Code Automated Testing
Develop and execute test plans, test cases, and test scripts to ensure software functionalities meet quality standards.
Conduct thorough regression testing to prevent software regressions and ensure the stability of new software releases.
Perform exploratory testing to uncover hidden software defects and ensure an optimal user experience.
Collaborate to Improve Automated Testing
Collaborate with the development team to understand software requirements and provide input on testing strategies.
Identify, record, and track software defects and work closely with the development team to ensure timely resolution.
Track QA metrics.
Contribute to the design and implementation of automated testing frameworks and test scripts.
Monitor and evaluate software performance metrics to identify areas for improvement and optimize software performance.
Requirements
Bachelor's degree in Computer Science or related field. Can substitute equivalent professional experience.
Proven experience as a QA Engineer or similar role in the software industry.
Strong knowledge of software testing methodologies, tools, and processes.
Familiarity with programming languages such as Javascript, JAVA, and mySQL.
Experience with tools and technologies such as mocha, puppeteer, docker, and git.
Solid understanding of agile development practices and methodologies.
Excellent analytical and problem-solving skills.
Strong attention to detail and ability to prioritize tasks.
Excellent communication and collaboration skills.
Ability to work independently and as part of a global team.
Salary
$75,000-$95,000 annually
This role is eligible for an annual performance bonus
Benefits
We’re committed to making a positive impact on our employees by cultivating an engaging, satisfying, and rewarding workplace. This includes providing a robust benefits portfolio and other perks that support your career goals as well as your health and well-being.
Remote-first working opportunities.
401(k) with a generous match.
Flexible time off.
Generous parental and family leave.
Professional development opportunities, training, and support.
Comprehensive health insurance plans.
All these benefits help us empower each person to IMPACT our products, our customers, and our world.
Creating insights is the core of everything we do.
At Lumivero, our mission is to enable customers to organize, analyze and report on data to gain compelling new insights that spark action. Lumivero leverages the combined capabilities of leading data software solution providers, QSR International, Palisade, and Addinsoft, to empower customers in business and academia to make an impact like never before.
Lumivero team members are operating across five continents in a remote-first work environment. This global commitment helps us to continuing to keep our users our top priority, and positions us to provide better experiences, better support, and better products with global impact.
GHawHmdNRe
Show less",3.7,Honeywell,Remote,Unknown,--,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
