Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior Python Developer,-1,"Junior Python Developer
Available for the following offices: Texas
Are you seeking an opportunity to join a highly-regarded IT development firm?
Well, look no further! WebCreek is currently seeking a Senior Python Developer with one to three years of experience to work on-site in Houston, Texas.
What You’ll Do
Design, build, and maintain efficient, reusable, and reliable code.
Troubleshoot, maintain, and improve existing software.
Help maintain code quality, organization, and automation.
Develop APIs.
Perform database queries.
Collaborate closely with other developers, UX designers, project managers, business analysts, and QA analysts.
What You Have
0-3 years of experience working as a Python Developer.
Experience with Python frameworks (e.g., FastAPI, Flask).
Familiarity with REST API and ETL processes.
Understanding of relational and non-relational databases (e.g., MySQL, Oracle, PostgreSQL, MongoDB).
Knowledge of Airflow, RabbitMQ, and Redis is a plus.
Strong debugging skills and the ability to troubleshoot software issues.
Able to learn quickly and work both independently and as part of a team.
Attention to detail.
What You’ll Gain
Full-time position in a quickly growing company.
Competitive salary with regular revisions.
Many excellent programs and benefits.
In-house IT and English training and certifications.
Flexible work environment.
International team with opportunities to work abroad.
Who We Are
WebCreek is a provider of world-class software development teams and technical staff augmentation. We serve many Fortune 500 companies and other leading organizations. We have operations in ten countries and over 25 years of experience delivering top-notch digital solutions to the companies that power our world.
WebCreek is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, nationality, genetics, pregnancy, disability, age, veteran status, or other characteristics.
Find out more about our job opportunities: https://careers.webcreek.com/
Show less",4.3,WebCreek,Texas,51 to 200 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Frontend Developer,-1,"Frontend Developer
We are in search for a strong Front-end Engineer for developing new user-facing features, and determining the structure and design of web pages.
Remote Kyiv London Limassol Tbilisi Lisbon
Are you ready to take your JavaScript skills to the next level?
Do you like the challenge of solving complicated problems? Then we have the right job for you! We are seeking an experienced JavaScript developer with a deep understanding of React. The main responsibilities of the candidate will be the development of user interface components and the refactoring of existing code for our stable and long-term projects.
All you need is:
4+ years of experience as a Front-End Engineer;
Solid background coding pure JavaScript;
Experience with React and Redux (at least 3 years);
Deep understanding and experience working with React Class Components;
Knowledge and experience with Webpack and Gulp;
Has relevant experience with HTML5, CSS3 and SCSS;
Level of English language - upper-intermediate.
Also, it will be great if you have:
Experience with Twig and basic knowledge of PHP;
Experience with PWA.
Your daily adventures will look like:
Performing a technical assessment of business requirements to ensure the possibility of their implementation within a reasonable time;
Fixing bugs in existing projects;
Refactoring and optimizing existing code;
Optimizing components for maximum performance across browsers;
Creating new and modifying existing websites;
Be proactive in communication with team members.
So, why Gamingtec?
If you are a person with passion, ideas, and a thirst to advance your career, you will love our corporate culture. We are an international team that treats each other with respect and moves towards the same goals. We believe in freedom and flexibility and trust our employees to do their jobs in a way that works for them. We have an ambitious and rewarding work environment, a flat organisational structure and almost zero bureaucracy. Our employees’ ideas are what move the company forward. Everyone has equal opportunities in every aspect of work, learning and development!
Why you will love working here:
Being a part of an international team, where everyone treats each other with respect and moves towards the same goal;
Freedom and responsibility. You do not need to be told what to do;
Competitive salaries. We want only the top performers, so we offer the appropriate remuneration for their experience and knowledge;
Fully remote work. If you are in one of the areas where one of our offices is located, you will also have the option to go to the office;
Flexible work schedule. We do not track time, we measure performance;
Unlimited paid vacation and sick leave days. We believe that everyone should have a good work-life balance and no one should burn out;
Constant career development & learning opportunities!
Enjoy the corporate atmosphere with awesome parties and team-building events throughout the year;
Refer your friends and get rewarded with a bonus, after they pass their probation period;
Find the right private medical insurance that works for you and receive compensation for it. Compensation (full/partial) depends on the cost;
Flexible Benefits plan. Decide which of your activities/expenses you want the company to compensate you for. For example; gym subscription, language courses, Netflix subscription, a spa day, etc;
Education foundation in learning something new. Be part of our biannual ruffle that gives you the chance to learn something new, unrelated to your job.
And this is how our interview process goes:
A 30-minute interview with a member of our HR team to get to know you and your experience;
A technical interview with our Lead developer to assess your skills and abilities;
A final 1.5-hour interview with three team members to gauge your fit with our culture and working style.
Sounds interesting? Do not hesitate to apply or contact us if you have any questions! Gamingtec is waiting for you!

Advantages of Our Company
Zero bureaucracy
Unlimited holidays
Medical insurance
Only top talent and top salaries
Challenging projects and tasks
Smartest colleagues in the industry
Our Principles
Celebrate diversity
Celebrate diversity
Innovation matters
Innovation matters
Ambitious goals
Ambitious goals
Contact us
We are always on the lookout for passionate clients and new talents to join us.
info@gamingtec.com
Show less",4.5,WebCreek,Remote,51 to 200 Employees,2013,Company - Private,--,--,$5 to $25 million (USD)
Java Developer - Recent Grads - Entry Level Positions,$76K - $108K (Glassdoor est.),"Company Description

Best technology is when it brings people together, but it exceeds its best when people together are high tech. With a bright team, high tech and customer-centric approach Ensis has entered the IT field by offering solutions for IT staffing, IT talent management and IT services to the clients with unmatched quality, responsiveness, and flexibility.

With a unique approach and distinct IT structure, we at Ensis meet all your IT needs quickly and efficiently. Our continuous efforts and expertise, support us in expanding and developing our services that help you to unlock the potential of every resource and creativity within the organization.

Job Description

We are looking for an Enthusiastic Full Stack Java Developer for a service and product company who can help the company build up their business and take company to new heights.
Required Experience, Skills and Qualifications
Graduates with BS/MS computer science degrees from leading universities
Aspirations to learn to code
Knowledge of Object-Oriented Programming and/or languages (Java, C/C++)
Team player, self-starter and passion for programming
Good verbal and written communication skills
Troubleshooting skills, ability to predict potential user and software issues
Organization skills and attention to detail
Ready to be employed anywhere in the US
Database concepts, Core JAVA, Design Patterns, JEE Intro, Web Servers, Servlets, JSP Tools
Spring, Hibernate, App Servers, EJB, JMS, Web Services, REST, Front end development Angular JS, UI HTML,
CSS, Java Script, jQuery, AJAX
Exclusive seminars by Industry SMEs on AWS/Micro services/SDLC/Architecture
Workshops on Agile/Scrum, , AWS, micro services, ESB, Angular 10.0
OCJP certification, Capstone project
Responsibilities
Design, implement and maintain java application phases
To take part in software and architectural development activities
Conduct software analysis, programming, testing and debugging
Identifying production and non-production application issues
Develop, test, implement and maintain application software
Recommend changes to improve established java application processes
Develop technical designs for application development
Develop application code for java programs
Benefits
Oracle Gold Partner specializing in Java development
Interviews preparation
Assistance in resume and profile building
Industry leading compensation, performance bonus and profit sharing

Additional Information

All your information will be kept confidential according to EEO guidelines.
Show less",3.8,WebCreek,"Phoenix, AZ",1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Remote C++/3D Developer,$42K - $76K (Glassdoor est.),"Are you on the hunt for exciting new challenges that boost your professional growth? If you’re an innovator by nature and a C++/3D Developer by trade, we’d love to hear from you! Read on to see if you’d be a good fit for the Scopic team of 250+ professionals from over 60 countries.
At Scopic, the virtual world is our home so this is a full-time remote position. Only apply if you’re prepared for the zero-hour commute and the thought of collaborating with colleagues from around the globe excites you!

The skills and traits we’re looking for:
2+ years of experience in commercial software development
Strong C++ programming skills
Experience with 3D graphics programming
Experience with Ogre3D or similar engine is a plus
Experience with Qt is a plus
Good algorithm and mathematics skills
Good English reading and writing skills
Bachelor's degree or higher
Stable internet connection and home computer

The secret ingredients that make us special:
We’re industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you’ll embrace new and interesting challenges.
Your location. Your schedule — Pick your time-zone, choose your preferred hours, and work from the place where you feel most at home.
Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.
A workload you can rely on. We’ll set you enough tasks to keep that mind busy! At Scopic, we’ll ensure you always have a consistent flow of engaging, challenging work to do.
Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance.

Down to business!
Your starting rate is negotiable depending on your skills and experience.
This is an hourly position

Our values:
Scopic offers equal opportunity. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status.
Have the skills, the drive, and the passion to join the Scopic family?
Apply today to join our growing team of remote professionals from around the world.

Attention Job Seekers: Please be aware that scammers may be fraudulently using our company's name in hiring scams. To ensure your safety, all legitimate communication regarding job opportunities from our company will only come from email addresses ending with @scopicsoftware.com or @scopicsoftware.hire.trakstar.com. Please exercise caution and report any suspicious activity to our official channels.
Show less",4.7,WebCreek,"Marlborough, MA",201 to 500 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Full Stack Developer,$60K - $85K (Employer est.),"Under close supervision, Software Development Specialist 1 will be responsible for supporting the development of web-enabled New Jersey Immunization Information (NJIIS). The position will test code and unit software components as well as prepare test data for the unit and integrate testing for child lead data. Will prepare flowcharts, block diagrams, and code program modules of the least complexity for applicant systems development.
The position will represent the Office of Health Information Technology (HIT) in the area of application development. Will attend meetings with potential and current clients, user group meetings, professional seminars, training sessions, vendor meetings, etc., as required.
The Software Development Specialist 1 will research, learn, and utilize Esri’s ArcGIS (geographic information systems) mapping software, the Master Patient Index (MPI), as well as develop and maintain programs for NJIIS.
This position may be eligible to participate in the Department's pilot telework program, which offers eligible employees the opportunity to work remotely for up to two (2) days per week, as approved by management.
New Jersey First Act: In accordance with N.J.S.A. 52:14-7, the ""New Jersey First Act"", all employees must reside in the State of New Jersey, unless exempted under the law. If you do not live in New Jersey, you have one year after you begin employment to relocate your residence to New Jersey.
Resume Note: Applicants who possess foreign degrees (degrees earned outside of the U.S.) are required to provide an evaluation indicating the U.S. equivalency prior to the closing date. Failure to do so may result in your ineligibility.
Authorization to Work: Selected candidates must be authorized to work in the United States according to the Department of Homeland Security, United States Citizenship and Immigration Services Regulations.
The State of New Jersey Department of Health is currently not a sponsor of H1B work visas. or provide sponsorships for citizenships to the United States.
Salary Range: $60,062.18 - $85,033.04
For additional job description information, education/experience requirements, and application instructions. Please visit: https://nj.gov/health/hr/hlthnov/documents/nov861-23.pdf
Job Type: Full-time
Pay: $60,062.18 - $85,033.04 per year
Schedule:
Monday to Friday
Work Location: In person
Show less",3.9,WebCreek,"Trenton, NJ",5001 to 10000 Employees,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
Software Developer (Jr-level),-1,"Software Developer (Jr-level)
LinkedIn
Twitter
Email
Message
Share


Category
Information Technology


Job Location
REMOTE, US


Tracking Code
TSO 4708


Position Type


CALIBRE Systems Inc., an employee-owned Management Consulting and Digital Transformation Company is seeking a Software Developer (Jr to Mid-Level) for developing and maintaining several software products.
The Software Developer’s responsibilities include, but are not limited to, the following:
Design, develop, and maintain C# code base
Integrate application with SharePoint
Collaborate with the QA team to define test scenarios, test cases, and test data
Identify, analyze, and report software defects and track them to resolution.
Collaborate with developers to troubleshoot and resolve issues, ensuring high-quality software delivery.
Develop Unit Test cases to ensure existing functionality is not affected by new developments.
Stay updated with industry trends and best practices in software development and share knowledge with the team.
Learn strategies to use Cloud base tools in preparation of a software modernization effort.
Contribute to the overall quality assurance and testing strategies and processes.


Required Skills
Experience writing code in C#
Experience with SharePoint
Experience using SQL Server
Experienced conducting software debugging.
Performing root cause analysis and incident investigation.
Experience in Integrated Development Environments such as Visual Studio
Strong verbal and written communication skills


Required Experience
US citizen
Ability to successfully pass a government background check.
Associate's degree or higher from an accredited college or university or applicable experience.


CALIBRE and its subsidiaries are an Equal Opportunity Employer and supports transitioning service members, veterans and individuals with disabilities. We offer a competitive salary and full benefits package. To be considered, please apply via our website at www.calibresys.com. Come join our dynamic team. #CALIBRECareers
Show less",4.2,WebCreek,Remote,501 to 1000 Employees,1989,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
Web Developer,$60K - $110K (Glassdoor est.),"CITIREX is always seeking motivated and talented individuals to join our growing team. Use the contact form to contact HR about any open position, or send an email to hr@citirex.com.
Web Developer - Los Angeles
Description
Citirex is seeking a motivated and talented individual to join our growing team at our location in Los Angeles. We are looking for a creative web designer with the current knowledge and technical skills to interpret our clients needs and to design solutions with high visual impact.
Desired Skills & Experience
2+ year’s of Design experience – Web;
Proficiency with HTML, CSS;
Experience with Responsive Design;
Proficient with the WordPress CMS;
Knowledge of Javascript, JQuery, PHP, Databases and Data Management.
Show less",5.0,WebCreek,"Los Angeles, CA",1 to 50 Employees,--,Company - Private,--,--,Less than $1 million (USD)
Junior Software Developer,-1,"Benefits: Medical, Dental, Retirement

We have a fun, fast-paced environment.
We are seeking a Junior Software Developer to become an integral part of our team!
We work on the latest technologies, Kubernetes, Docker, DevOps, SPA, Cloud
Responsibilities:
Work with a project manager or product owner to meet specification needs
Collaborate with other developers to design and optimize code
Qualifications:
Previous experience in software development, computer engineering, or other related fields
Knowledge of JavaScript, HTML, and .Net, or other programming languages
Familiarity with working with backed storage systems. SQL, NoSQL
Deadline and detail-oriented.
Strong analytical and critical thinking skills.
Strong work ethic and drive to improve your skills.
What you will be working on:
SPA or Single Page Application written in JavaScript and HTML

The application is similar to a CRM or Customer Relationship management software.
Benefits
First month is all training!
Full Medical and Dental
You will be working on the bleeding edge of technology with highly skilled engineers.

About Baytech Consulting:
We have a fun, fast-paced environment. You will participate in developing large-scale enterprise applications from top to bottom (full stack). Our goal is give you all the support and resources needed to streamline you to senior level as quickly as your learning curve allows.
Show less",4.3,WebCreek,Remote,1 to 50 Employees,2007,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD)
React.JS Developer (Remote),-1,"We are looking for a great React developer who is proficient with React.js. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows (such as Flux or Redux). You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality products are important.
Responsibilities
Developing new user-facing features using React.js
Building reusable components and front-end libraries for future use
Translating designs and wireframes into high-quality code
Optimizing components for maximum performance across a vast array of web-capable devices and browsers

Job Requirements
Minimum React Experience : 2 Years
Previous experience working as a react developer.
In-depth knowledge of JavaScript, CSS, HTML, and front-end languages.
Knowledge of REACT tools including React, Webpack, Enzyme, Redux, and Flux.
Experience with Material UI Component library.
Knowledge of performance testing frameworks including Mocha and Jest.
Experience with browser-based debugging and performance testing software.
Excellent troubleshooting skills.
Good project management skills.
Show less",3.5,WebCreek,United States,51 to 200 Employees,2010,Company - Private,--,--,$5 to $25 million (USD)
"Junior PHP Laravel Developer - Remote, Full-Time",-1,"Bluelight Consulting is a leading software consultancy seeking a skilled QA Manual Tester to join our fast-growing team. Our mission is to design and develop technology that improves the lives of its users while providing an exceptionally high level of service to our clients.

We are looking for a QA Manual Tester who wants to be part of a fast-paced, dynamic environment, where everyone’s opinions and efforts are valued. We hire outstanding individuals and give them the opportunity to thrive in a collaborative atmosphere that values learning, growth, and hard work.

Our team is distributed across the United States and Central / South America. If you have the desire to be a part of an exciting, challenging, and rapidly growing software development consultancy, and if you are passionate about software development and creating the finest apps in the marketplace, please apply below.
What are we looking for?
Experience with multiple products in the Laravel ecosystem
2+ years experience PHP w/ Laravel
Experience with frontend development (Reactjs, Vuejs, Livewire, etc)
Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon, both regarding estimates and the general process.
Ability to identify with Bluelight's clients' goals and dedicate yourself to delivering on the commitments you and your team make to them.
A positive mindset and a can-do attitude.
Forensic attention to detail.
Company Benefits
Competitive salary and bonuses, including performance-based salary increases
Generous paid-time-off policy
Technology / Office stipend
100% remote work, now and post COVID
Continuing education, training, conferences
Company-sponsored coursework, exams, and certifications
Show less",4.9,WebCreek,United States,1 to 50 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
