Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior DevOps,$91K - $143K (Glassdoor est.),"This is an in-office role, located in Eastvale, CA. Not a remote role.
The Junior DevOps will be responsible for Building and implementing new development tools and infrastructure, understanding the needs of stakeholders and conveying them to developers, and working on ways to automate and improve development and release processes. This includes testing and examining code written by others and analyzing results, ensuring that systems are safe and secure against cybersecurity threats, and identifying technical problems and developing software updates and fixes.

Responsibilities

Deploy updates and fixes, and provide technical support
Work with software developers and software engineers to ensure that development follows established processes and works as intended
Plan projects and be involved in project management decisions
Build tools to reduce occurrence of errors and improve customer experience
Develop software to integrate with internal back-end systems
Perform root cause analysis of production errors and resolve technical issues
Design procedures for system troubleshooting and maintenance
Show less",3.8,PARKER HOUSE MANUFACTURING CO INC,Eastvale,10000+ Employees,1917,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Junior DevOps Engineer,-1,"Remote (Georgia)
APPLY NOW
REFER A FRIEND
Job Description:
IAMOPS provides customized DevOps, QA, and 24/7 Monitoring solutions for start-ups and high-growth
companies. We work with tech startups across various industries, including finance, telecom,
entertainment, health, technology, education, defense, and security.
About this role:
This is a full-time remote DevOps position ideal for recent graduates and final-year students pursuing degrees in Computer Science or Information Technology. We welcome individuals with a strong academic foundation and a passion for DevOps to join our dynamic team.
You will work closely with IAMOPS DevOps teams and perform day-to-day tasks associated with DevOps operations.
You will learn various technologies related to DevOps and support IAMOPS in several DevOps domains.
Qualifications:
Recent graduates or final-year students in a relevant degree program (Computer Science,Information Technology, etc.).
Basic understanding of software development concepts and proficiency in programming languages (e.g., Python, Java).
Familiarity with version control systems (e.g., Git).
Basic knowledge of containerization and orchestration technologies.
Strong problem-solving skills with an ability to collaborate effectively in a team-oriented
environment.
Eagerness to learn and stay updated with the latest DevOps trends and technologies.
No prior experience required (Experience is an added advantage)
Show less",4.8,PARKER HOUSE MANUFACTURING CO INC,Georgia,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Jr. DevSecOps Engineer,$64K - $108K (Glassdoor est.),"Location: Beavercreek, OH or Remote
HumanIT is seeking a Junior DevSecOps Engineer to support a mission at Beavercreek, OH or remotely. In this role, you will be working with a development team through day-to-day operations throughout the complete development cycle. You will be responsible for supporting, setting up and managing the development environment, configuring, and maintaining cloud services, and managing CI/CD pipelines for management of Infrastructure as Code (IaC) baseline. Candidates will need to have experience working with software development teams, maintaining compliance and security controls, monitoring operations, and improving development processes when needed. You must be highly organized and competent in Agile and DevSecOps principles. Successful candidates will have excellent communication and problem-solving skills.
Job Type: Full-time
Show less",4.8,PARKER HOUSE MANUFACTURING CO INC,"Beavercreek, OH",51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
DevOps Mentor (Part-time),$42.00 - $55.00 Per Hour (Employer est.),"What is Pathrise?
Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new career. The program is free upfront and our customers pay us back when they’re hired.

Built around aligned incentives, we help build equity in the job search process by providing 1-on-1 mentorship, training, and a platform to uplift job seekers and ultimately, help them fulfill their hopes, ambitions, and livelihoods. We’ve already helped more than a thousand fellows land meaningful jobs, and helped them earn over $100M in salary.

In 2022 we raised our Series B and there is even more exciting growth on the horizon. That year we expanded from 6 to 14 industries, launched a tiered pricing system with differentiated product offerings, and much more.

Our Mission
Our mission is to help people everywhere build their careers by being the world’s best career agency.

We believe the job search system is broken and can be fixed with a business model that acts on behalf of the job seeker, instead of on behalf of employers, recruiters, or schools. If this sounds interesting to you, we look forward to hearing from you!

Read more about our mission in our manifesto.

The Role

In addition to fostering career growth for individuals, Pathrise has had x YoY growth with a 98% placement rate and with expanding tracks in various industries. With over 2,000 fellows placed everywhere from Facebook to Google, Microsoft, Amazon, Uber and startups, we are looking to expand our team in our SWE track.

As a part time DevOps mentor, you will be responsible for fellow success by helping them develop their technical interviewing skills through a variety of online sessions. You will work cross-functionally with our career mentors to provide up-to-date, relevant information to help our fellows not only pass interviews but gain confidence in their abilities!

Note: we hire for part-time industry mentors on a rolling basis contingent on need, which fluctuates. We encourage you to apply and if your experience is a match, a member of our team will reach out when a spot opens up, which happens often.
Responsibilities
Provide 1-on-1 mentorship on your own schedule (minimum 10 hour/wk commitment)
Mentors will need to commit a few hours per week preparing materials, leveraging existing Pathrise curriculum content and responding to fellow’s emails
Work alongside Pathrise Mentors and learn how to best meet the needs and learning styles of your fellows
Guide fellows through both technical and behavioral aspects of the job search, such as technical interview prep, discussing technical requirements of their background, and more
Facilitate a thoughtful and inclusive environment for all fellows to learn and grow in their technical skills to achieve great results and land the job of their dreams!
Qualifications
You are excited at the chance to shape the skills, minds, and trajectories of the newest generation of DevOps Engineers
You have a good understanding of the current requirements of DevOps, interviewing standards, have interviewed IT/DevOps candidates and/or sat on hiring committees before
You have at least 3 years of DevOps experience (prior teaching experience is a plus)
You have fluency and expertise in: development and operations, coding, infrastructure management, system administration, and DevOps toolchains
What’s in it for You?
Be a mentor to individuals who want to break into or accelerate their career in DevOps
Build relationships with fellows and really make a difference to their careers and lives!
Flexible schedule and remote work (US & Canada preferred)
Be a part of a really fun and mission driven organization!
Compensation for Industry mentor roles is paid on a per session basis, with sessions ranging from 30 min ad hocs to 1 hour workshops. Pay ranges from $42 - 55/hr and is contingent upon session type and mentor experience.
Unfortunately, we cannot accept applicants who are currently on an H1B visa, as this is a 1099 role.

Pathrise is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Pathrise does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Pathrise also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Pathrise will also consider for employment qualified applicants with arrest and conviction records.

If you are also interested in the fellowship, please apply here: https://www.pathrise.com/apply.
Show less",4.3,PARKER HOUSE MANUFACTURING CO INC,United States,51 to 200 Employees,2017,Company - Private,Education & Training Services,Education,$1 to $5 million (USD)
Mid DevSecOps Engineer,$84K - $118K (Glassdoor est.),"HumanIT is seeking a Mid-Level DevSecOps Engineer to support a mission at Beavercreek, OH, or remotely. In this role, you will be supporting and potentially leading a development team through day-to-day operations throughout the complete development cycle. You will be responsible for setting up and managing the development environment, configuring, and maintaining cloud services, and managing CI/CD pipelines for management of Infrastructure as Code (IaC) baseline. Candidates will need to have experience working with software development teams, maintaining compliance and security controls, monitoring operations, and improving development processes when needed. You must be highly organized and competent in Agile and DevSecOps principles. Successful candidates will have excellent communication and problem-solving skills.
Job Type: Full-time
Show less",4.8,PARKER HOUSE MANUFACTURING CO INC,"Beavercreek, OH",51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
DevOps Engineer,-1,"Hi,
Greetings from Zllius Inc!
We have an urgent opening for the role DevOps Engineer (EKS or Elastic Kubernet services exp Mandatory) . If interested, revert me back with your Updated resume, along with contact details, work authorization.
Job Role: DevOps Engineer (EKS or Elastic Kubernet services exp Mandatory)
Location: 100% remote
Duration: Long-term
Position: W2/1099
Visa: Any (Except H1B)
Job Description:
Client is looking for Devops Engineer with AWS, EKS and Kubernetes - Remote 100%
Thanks & Regards:
Zllius Inc.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Health insurance
Work Location: Remote
Show less",-1,PARKER HOUSE MANUFACTURING CO INC,Remote,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
DevOps Engineer,$125K - $135K (Employer est.),"Sony Corporation of America, located in New York, NY, is the U.S. headquarters of Sony Group Corporation, based in Tokyo, Japan. Sony's principal U.S. businesses include Sony Electronics Inc., Sony Interactive Entertainment LLC, Sony Music Entertainment, Sony Music Publishing and Sony Pictures Entertainment Inc. With some 900 million Sony devices in hands and homes worldwide today, a vast array of Sony movies, television shows and music, and the PlayStation Network, Sony creates and delivers more entertainment experiences to more people than anyone else on earth.

POSITION SUMMARY
Sony Corporation of America (SCA) is seeking a DevOps Engineer to support the launch of a new business incubated within SCA. In this role, you will be one of the first members of our engineering team, and play a formative role as we build out our applications and services. Reporting to the Director of Software Engineering, you will work with our product development and network engineering teams to build out deployment automation and monitoring and ensure the continuous availability of our products and services.
JOB RESPONSIBILITIES
Deploy and maintain critical applications in public cloud infrastructure
Deploy and maintain CI/CD pipelines across multiple environments
Build out monitoring and alerting capabilities,
Monitor the quality & velocity of deployments, and work with the team to implement improvements
Participate in an on-call rotation with other engineers to provide support during production incidents and outages.
Assist Director of Software Engineering in conducting technical interviews for software engineering candidates.
QUALIFICATIONS FOR POSITION
Your qualifications and experience should include:
7+ years of experience with DevOps and system administrator roles, deploying highly-available consumer facing applications.
Expertise with AWS
Proficient in CI/CD Implementation
Proficient with scripting languages such as Bash, Python, Ruby, TypeScript, and a drive towards automating repetitive tasks
Proficient with Infrastructure-as-code technologies
Proficient in Configuration Management tooling
Proficient with Containerization Technologies (e.g. Docker, ECS, Kubernetes)
Familiarity with database administration
Excellent written and verbal communication skills.
In addition to competitive pay and benefits, we offer an environment and culture that promotes Diversity, Equity, and Inclusion. We are committed to creating an inclusive employee experience for you to thrive as part of Sony’s purpose to “fill the world with emotion through the power of creativity and technology”.

Benefits:
SCA offers benefits-eligible employees (generally regular employees scheduled to work 20 or more hours a week) a comprehensive benefits program that offers coverage and support for employees and their family’s physical, emotional, and financial well-being.

What we offer you:
Comprehensive medical, prescription drug, dental, and vision coverage with coverage for spouses/domestic partners and child dependents, including access to a Health Savings Account (HSA) and Flexible Spending Account (FSA)
Employee assistance plan and comprehensive behavioral health benefits
Fertility benefits, including surrogacy, and adoption assistance programs
Basic and supplemental life insurance for employees as well as supplemental life insurance coverage for their spouses/domestic partners and children
Voluntary benefits such as group legal, identity theft protection, accident, and hospital indemnity insurance
Short-term & long-term disability plans
Paid parental and caregiver leave
401(k) Plan with pre-tax, Roth, and after-tax options and company match which vests immediately
Education assistance and student loan programs

Other Programs:
Flexible Work Arrangements, including remote and hybrid work schedules
Time off to include vacation, paid holidays, sick leave, Summer Fridays (early release), and a winter break between Christmas and New Year’s Day (based on business needs)
Referral bonuses (subject to eligibility)
Matching gift program
A wide variety of employee business resource groups (EBRGs)
Special discounts on Sony products, offered exclusively to Sony employees
Employee stock purchase plan (Sony covers commissions and fees for your Sony stock purchases made through after-tax payroll deductions)
Annual incentive bonus
The anticipated annual base salary for this position is $125,000 to $135,000. This range does not include any other compensation components or other benefits that an individual may be eligible for. The actual base salary offered depends on a variety of factors, which may include as applicable, the qualifications of the individual applicant for the position, years of relevant experience, specific and unique skills, level of education attained, certifications or other professional licenses held, and the location in which the applicant lives and/or from which they will be performing the job.

#LI-JG1
Sony is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religious creed, sex (including pregnancy), gender, national origin, citizenship, ancestry, age, physical or mental disability, military status, status as a veteran or disabled veteran, sexual orientation, gender identity or expression, marital or family status, genetic information, medical condition, or any other basis protected by applicable federal, state, or local law, ordinance, or regulation.
Disability Accommodation for Applicants to Sony Corporation of America
Sony Corporation of America provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at
careers@sonyusa.com
or by mail to: Sony Corporation of America, Human Resources Department, 25 Madison Avenue, New York, NY 10010. Please indicate the position you are applying for.
EEO is the Law
EEO is the Law Supplement
Right to Work (English/Spanish)
E-Verify Participation (English/Spanish)
While SCA does not require employees to be vaccinated against COVID-19, there are certain Sony offices that require employees to be vaccinated in order to enter. If you will be located at or travel to those offices, you will be required to be fully vaccinated to enter. The Company will consider requests for reasonable accommodations for documented medical reasons and for sincerely held religious beliefs in accordance with applicable law. Please do not include proof of vaccination status or any indication of a possible request for a vaccination accommodation when submitting your application materials. If applicable, the Company will follow up with you directly to request proof of vaccination and to discuss any potential accommodations.
Show less",4.2,PARKER HOUSE MANUFACTURING CO INC,United States,10000+ Employees,1946,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
DevOps Engineer,$73K - $146K (Employer est.),"Company Overview:

ADT has been in the business of helping save lives since 1874. As the #1 smart home security provider in the U.S., we help protect and connect families, businesses and larger commercial customer every day. Our continuous innovation, advanced technology and strategic partnerships deliver products and services that help protect life and valuables, whether at home, your business or on the go. And as times change, so do we. Above all, our mission is clear: we help save lives for a living. Looking for a career where you can make a real impact? Join our team today and put purpose behind your paycheck. #WeAreADT
Check out more about life at ADT here.
Summary:
Architects cloud infrastructure for software applications and data management, accounting for cost, reliability, security, and maintainability. Leader in building infrastructure and software delivery solutions to deploy software applications in the cloud.
Duties and Responsibilities:
Can architect infrastructure for cloud computing solutions and implement the foundation for application environments and the software deployment pipelines that feed them.
A leader and partner in design activities and capable of building quality code to support them. Flexible mindset to new implementation techniques and able to incorporate new techniques in cloud computing.
Instrument services for observability and ensuring adherence to availability objectives
Skills in documenting deliverables in a collaborative and clear manner. Capable of making updates to reflect changes to work products submitted.
Strong teamwork aptitude and ability to partner with juniors to provide guidance and learning opportunities.
Fluency in communication and relaying of technical details on feature operation and design decisions within the working team.
Can contribute to the body-of-knowledge relating to new and existing software platforms.
Able to lead Proof-of-Concept activities.
Participate in an on-call rotation for responding to incidents that impact service availability on customer-facing systems
Requirements:
Education: Four (4) year degree or equivalent experience
Experience: 5+ years
Skills (high proficiency in several):
Containerization (Java preferred)
Scripting languages (python, ruby, etc.)
Cloud infrastructure management
Cloud networking
Kubernetes orchestration
Application observability
Technologies: AWS or GCP (required), Git (required), Terraform (required), CI/CD (required)
Competencies:
Customer focus
Results driven
Problem solver
Forward looking
Peer relationships
Teamwork oriented
High learning capacity
Creativity
Data centric
Scalable solutions
CI/CD
Automation centric
Compensation & Benefits:

The salary range for this role is $73,066 - $146,131 and is based on experience and qualifications.

Certain roles are eligible for annual bonus and may include equity. These awards are allocated based on company and individual performance.

We offer employees access to healthcare benefits, a 401(k) plan and company match, short-term and long-term disability coverage, life insurance, wellbeing benefits and paid time off among others. Employees accrue up to 120 hours in their first year. Your accrual rate increases after your first year. We also offer 6 paid holidays.

ADT is an Equal Employment Opportunity (EEO) Employer. We celebrate diversity and are committed to building an inclusive team that represents a variety of backgrounds, perspectives, and skills. ADT strives to ensure every employee and applicant feels valued. Visit us at jobs.adt.com/diversity to learn more.
Show less",3.0,PARKER HOUSE MANUFACTURING CO INC,Remote,10000+ Employees,1874,Company - Public,Security & Protective,Management & Consulting,$5 to $10 billion (USD)
Devsecops || REMOTE || Contract Role,$75.00 - $80.00 Per Hour (Employer est.),"Hi
This is regarding to a position of a Sr. Devsecops
Title: Sr Devsecops
Location: REMOTE
Client is CITIGROUP
Duration: Long-term Contract
We are looking for Sr Devsecops with below skills.
· PlainId ZScaler Zero Trust Catchpoint Cisco DUO.
Job Types: Contract, Full-time
Pay: $75.00 - $80.00 per hour
Schedule:
8 hour shift
Work Location: Remote
Show less",3.8,PARKER HOUSE MANUFACTURING CO INC,Remote,1 to 50 Employees,--,Company - Private,--,--,Less than $1 million (USD)
Cloud DevOps and System Administrator,$77K - $121K (Glassdoor est.),"Description:
Our Interclypse customer is seeking to Enhance Cloud engineering practice by automating manual business and information technology processes in Amazon Web Services (AWS) with common Infrastructure as Code (IaC) services such as CloudFormation, CodePipeline, SSM Automation Documents, Config Rules. As a part of a team, this role provides a wide variety of functions, with emphasis on building, maintaining, and refining a full stack, centralized DevOps CI/CD pipeline.
The Interclypse difference is our emphasis on employee growth and development through continuous learning, mentorship, and empowerment. Interclypse employees grow in a positive cultivating work environment with endless career opportunities. Let Interclypse empower you by putting you in the driver's seat of your career.
Requirements:
Job Responsibilities
Provides ongoing systems administration, technical support, upgrades, and troubleshooting services.
Provide full coverage for Linux or Unix system administration functions to support the DevOps tool sets.
Install, configure, support, and maintain middleware (e.g., JBoss, Apache, Tomcat, Nginx, etc.) to support the DevOps tool sets.
Write unit tests and integration tests to validate infrastructure code.
Identify engineering defects in the existing code base and constantly improve the code quality.
Maintain configuration and support documentation.
Manage assigned project components to deliver services in accordance with established objectives.
Develop, through programming and scripting, automation to further expand and refine the DevOps tool sets.
Work closely with the software development teams in defining their DevOps CICD pipeline and processes and implement and configure the DevOps tools with them.
Incorporate AWS native cloud services and features to enhance the performance and resilience of the DevOps tools and infrastructure.
Contribute and collaborate to design, document, and publish DevOps and cloud standards, principles, guidelines and best practices.
Seek opportunities to increase the business value of the DevOps tool chain through research and investigation, application team input, automation options, POCs, etc.
Proactively stays abreast of new AWS offerings and services Transform development processes for existing applications into a continuous integration, continuous delivery driven software development lifecycle
Required Skills
8+ years of directly relevant experience
Experience building CI/CD pipeline configurations to orchestrate provisioning and deployment of both large and small-scale systems
Experience with one or more of the following scripting languages (Shell, Python, JavaScript, Typescript and PowerShell)
Proven experience in Serverless Architecture, Containers orchestration tools like OpenShift, EKS, Docker Swarm, ECS, Kubernetes, developing Cloud Formation Templates, knowledge of SAM templates preferred and/or Terraform Design
Develop and integrate highly complex DevOps pipelines, including build automation, CICD, Infrastructure as Code, security, monitoring, logging, and alerting Experience in provisioning, installation, configuration, operation, and maintenance of version control systems (Git), build tools and continuous integration tools (CloudBees, Jenkins)
Proficient with application build and release processes and DevOps
Experience with both Linux or Unix environments
Required Education and Experience
Bachelor’s degree in Systems Engineering, Computer Science, Information Systems or related technical field
Two years of related work experience may be substituted for each year of degree level education
Why You Might Like This Job:
You’re tired of working for a massive organization.
You want to work for an established company that values your stable career.
You want to work with a team who loves their job and making cool stuff.
You want to be part of a team focused on making a positive impact.
You want to grow your skills in management or work toward becoming an expert.
You want to have the option for career mentorship, both in technology and in business.
You value a company with a strong culture of growth and support.
Benefits:
248 hours / 31 days of Paid Personal Time Off (PTO) for vacation, holidays, and illnesses.
Unlimited 401K match up to 8% of your salary up to the federal maximum
Medical/Dental/Vision Insurance: Premium is 100% company paid (contact us for specific plan details)
Health Savings Account (HSA): Interclypse contributes $1,500 for individuals and $3,000 for families
Vision Insurance
Dental Insurance with orthodontics coverage
Life Insurance
Accidental Death Insurance
Disability: Short-term and long-term disability coverage
Educational support: reimbursement up to the federal max of $5,250
Maternity/Paternity Leave: 40 hours
Bereavement Leave: 24 hours
Military Reserve Leave
Jury Duty Leave
Company apparel: $200 for company apparel each year
Social events: Holiday Party, Spring Picnic, Fall Picnic, happy hours, and more
Interclypse isn’t your typical company. We strive to have a positive & transformational impact on our community, our industry, and individuals. We keep this focus through our motto: ""Doing What is Right"". Apply today to see how you can join our winning team and start down the career path that’s right for you!
EOE AA M/F/Vet/Disability:
Interclypse is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.
Show less",4.7,PARKER HOUSE MANUFACTURING CO INC,"Dulles, VA",51 to 200 Employees,2007,Company - Private,Software Development,Information Technology,$5 to $25 million (USD)
