Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior Python Developer,-1,"Junior Python Developer
Available for the following offices: Texas
Are you seeking an opportunity to join a highly-regarded IT development firm?
Well, look no further! WebCreek is currently seeking a Senior Python Developer with one to three years of experience to work on-site in Houston, Texas.
What You’ll Do
Design, build, and maintain efficient, reusable, and reliable code.
Troubleshoot, maintain, and improve existing software.
Help maintain code quality, organization, and automation.
Develop APIs.
Perform database queries.
Collaborate closely with other developers, UX designers, project managers, business analysts, and QA analysts.
What You Have
0-3 years of experience working as a Python Developer.
Experience with Python frameworks (e.g., FastAPI, Flask).
Familiarity with REST API and ETL processes.
Understanding of relational and non-relational databases (e.g., MySQL, Oracle, PostgreSQL, MongoDB).
Knowledge of Airflow, RabbitMQ, and Redis is a plus.
Strong debugging skills and the ability to troubleshoot software issues.
Able to learn quickly and work both independently and as part of a team.
Attention to detail.
What You’ll Gain
Full-time position in a quickly growing company.
Competitive salary with regular revisions.
Many excellent programs and benefits.
In-house IT and English training and certifications.
Flexible work environment.
International team with opportunities to work abroad.
Who We Are
WebCreek is a provider of world-class software development teams and technical staff augmentation. We serve many Fortune 500 companies and other leading organizations. We have operations in ten countries and over 25 years of experience delivering top-notch digital solutions to the companies that power our world.
WebCreek is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, nationality, genetics, pregnancy, disability, age, veteran status, or other characteristics.
Find out more about our job opportunities: https://careers.webcreek.com/
Show less",4.3,WebCreek,Texas,51 to 200 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
"Dev Ops Software Engineer, Early Career",$94K - $158K (Employer est.),"About us:
One team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team.
What you'll do:
The DevOps Commercial Mobility team is focused on providing solutions to provide an extraordinary in-flight connectivity service to commercial airlines. As a member of this team, you will build up a vast knowledge in software development, networking, cloud application engineering, automation, data visualization, and container orchestration. You will be working with various ground breaking technologies at multiple layers of the software stack to design, develop, deploy, and maintain the in-flight connectivity service. Our ideal candidate values communication, learning, adaptability, creativity, and ingenuity. They also enjoy working on challenging technical issues and use creative and innovative techniques to develop and automate solutions. In addition, an ideal candidate enjoys working with the operations team by providing support, visualization, and solutions as challenges arise.
The day-to-day:
What you'll need:
Bachelor’s degree or higher in Computer Science, Computer Engineering, Math & Computer Science, and/or a related field.
Previous experience with cloud technology, automation, machine learning, data, full stack, embedded, applications, and/or Front-end development.
What will help you on the job:
Previous internship experience in a software development and/or test related area.
Experience with networking: UDP, TCP/IP, AMQP, DHCP, DNS, and/or REST
Experience with programming languages/frameworks: Python, Java, C/C++, NodeJS, Angular, React, and/or Bash
Experience with development tools: Amazon Web Services, Heroku, Git, Artifactory, Jenkins, Puppet, CHEF, CF Engine, Ansible, Kubernetes, Docker, Linux, and/or SaltStack
Salary range: $93,500.00 - $157,600.00 / annually : At Viasat, we consider many factors when it comes to compensation, including the scope of the position as well as your background and experience. Base pay may vary depending on job-related knowledge, skills, and experience. Additional cash or stock incentives may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. Learn more about Viasat’s comprehensive benefit offerings that are focused on your holistic health and wellness at careers.viasat.com/LifeAtViasat/Benefits. EEO statement:
Viasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic. If you would like to request an accommodation on the basis of disability for completing this on-line application, please click here.
Show less",3.9,WebCreek,Remote,5001 to 10000 Employees,1986,Company - Public,Telecommunications Services,Telecommunications,$1 to $5 billion (USD)
"Software Engineer, Early Career - Automation",$113K - $197K (Employer est.),"About us:
One team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team.
What you'll do:
This organization is an interconnected series of small teams that allows for immediate visibility within the group, but maintains the resources support of a large company to solve technology needs. The Secure Network Systems team also supports security and cybersecurity needs across the company, in which physical products, tools, and initiatives can have impacts across world-wide usage.

Be part of a software development team that designs, re-factors, and maintains code for existing and upcoming features across one or more product lines while meeting an exacting set of standards for security design and testing. As updated standards are released they are deployed across a variety of products and must take into account a variety of competing constraints.
The day-to-day:
Team Members will be expected to work as part of a team that works with and helps clarify requirements while continuously supporting development, integration, automation, and test of the final product through certification. Our ideal candidate is capable of working in a multi-disciplinary team with experience in object-oriented design, debugging, and embedded systems. The majority of our products interface via networking protocols, so the experience, interest, and desire to work on network-based products is a huge plus. Our teams strive to be efficient and productive, while remaining generous with our time and knowledge. Our ideal candidate is also focused on continuous improvement and driven by curiosity.

You will have the chance to be dynamic as a product moves through maturity phases, feature priorities change, and company needs shift. You’ll have the opportunity to work on requirements derivation at the software-level, high and low-level design, Agile sprints for development, integration, and formal testing events. It is common that your responsibilities on one product/project may differ from those on others, and that you will develop expertise in different areas. Teammates will rely on you for that expertise, and you will often have to get in touch with them for theirs. You'll have an opportunity to be a part of an agile multidisciplinary development team and work on:
Cybersecurity software & systems engineering
Embedded systems software engineering
Embedded or applications developer
System infrastructure development; scripting, automation, data visualization & dashboarding
What you'll need:
Bachelor’s degree or higher in Computer Science, Computer Engineering, Electrical Engineering, and/or a related field
Previous experience using Java or Python
Ability to pick up new software, frameworks and APIs
Strong communication and collaboration skills
Excellent software design, problem solving, and debugging skills
Experience with or desire to learn Linux
Ability to obtain and maintain a United States Secret Clearance
What will help you on the job:
Previous experience using C or C++
Previous internship experience
Courses in software architecture
Courses with practical software design usage
Experience with developing software monitoring and control software
Familiarity with configuration management tools (Perforce), development tools (Eclipse, Visual Studio, etc.), and agile development methodologies
Familiarity with CI/CD pipelines
Knowledge of TCP/IP network fundamentals
Computer control of Ethernet devices over LAN and WAN experience
Salary range: $113,100.00 - $196,600.00 / annually : At Viasat, we consider many factors when it comes to compensation, including the scope of the position as well as your background and experience. Base pay may vary depending on job-related knowledge, skills, and experience. Additional cash or stock incentives may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. Learn more about Viasat’s comprehensive benefit offerings that are focused on your holistic health and wellness at careers.viasat.com/LifeAtViasat/Benefits. EEO statement:
Viasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic. If you would like to request an accommodation on the basis of disability for completing this on-line application, please click here.
Show less",3.9,WebCreek,"Marlborough, MA",5001 to 10000 Employees,1986,Company - Public,Telecommunications Services,Telecommunications,$1 to $5 billion (USD)
(Casual Hire) Junior Software Developer,$55K - $90K (Glassdoor est.),"Description
Applicants seeking short-term or part-time work with the University of Hawai’i may apply for Casual Hire appointments, which include administrative, professional, and technical (APT) or instructional-type positions. Because of the temporary nature of these appointments, Casual Hire employees are not eligible for most benefits provided to regular Board of Regents or Civil Service employees. Casual Hire appointments may last for up to 89 days for full-time employees, and up to 1 calendar year for part-time employees.

Junior Software Developer

As part of a cybersecurity grant from the U.S. Department of Homeland Security (DHS) and Cybersecurity and Infrastructure Security Agency (CISA) there is a need for a Full Stack Software Engineer for the development, operations and support, and enhancements of vulnerability intelligent systems. As a member of the team, full stack developers will be involved with software engineering, support, and thought leadership as it relates to the platform, automation, and other related activities. This position requires working closely with internal team members, Product Owners, Business SMEs and other supporting groups.

The ideal candidates will also serve as full stack software developers and provide DevOps capabilities for their projects.

The candidate must be a US Citizen.

Duties and Responsibilities:

Develop static/dynamic software analysis tools.
Develop AI techniques to solve cybersecurity problems.
Software architecture design for large R&D projects.
Designing and developing R&D software systems using scientific analysis methods and mathematical models to predict and measure outcomes and design consequences.
Directing system testing and validation procedures.
Directing software programming and documentation development.
Representing the team in external meetings.
Meeting with the sponsors, for project status reports.
Working with the sponsors on technical issues including software system design and maintenance.
Consulting with engineering staff to evaluate software and develop specifications and periodic project performance reports.
Participate in formulating and developing new research proposals leveraging their expertise in software development.
Minimum Qualifications:
Bachelor’s degree (Computer Science / Software Engineering)
6 months to 1 year of experience in working on industrial scale systems and software production environment.
The candidate must be a US Citizen
Desired Qualifications:
Java (recommended)
Python (recommended)
Experience in MySql, Html , JavaScript, Css, Vagrant, and batch (recommended)
C/C++ (recommended)
Full-stack development (strongly recommended)
Mining software repositories (strongly recommended)
Static source code analysis (beneficial)
Workflow automation solutions (recommended)
Web development (strongly recommended)
DevOps (recommended)
Strong communications skills (required)
Analytical and problem solving skills (required)
Intermediate knowledge and experience with databases, file processing, xml, JSON and other markup languages (strongly recommended)
Machine learning (recommended)
To Apply:
Note: Email resume, cover letter and three professional references to mehdi23@hawaii.edu

Inquiries:
Email mehdi23@hawaii.edu
EEO/AA, Clery Act, ADA
The University of Hawai'i is an Equal Opportunity/Affirmative Action Institution and is committed to a policy of nondiscrimination on the basis of race, sex, gender identity and expression, age, religion, color, national origin, ancestry, citizenship, disability, genetic information, marital status, breastfeeding, income assignment for child support, arrest and court record (except as permissible under State law), sexual orientation, domestic or sexual violence victim status, national guard absence, or status as a covered veteran.
Show less",3.8,WebCreek,"Honolulu, HI",10000+ Employees,1907,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
"IT Engineer,Software,Entry",$93K - $134K (Glassdoor est.),"Overview:
Keysight is on the forefront of technology innovation, delivering breakthroughs and trusted insights in electronic design, simulation, prototyping, test, manufacturing, and optimization. Our ~15,000 employees create world-class solutions in communications, 5G, automotive, energy, quantum, aerospace, defense, and semiconductor markets for customers in over 100 countries. Learn more about what we do.

Our powerful, award-winning culture embraces a bold vision of where technology can take us and a passion for tackling challenging problems with industry-first solutions. Diversity, equity & inclusion are integral parts of our culture and drivers of innovation at Keysight. We believe that when people feel a sense of belonging, they can be more creative, innovative, and thrive at all points in their careers.

As a software engineer, you will be part of an IT team located in Colorado Springs, Colorado, that is responsible for the development of new tools. In this position, you will work with new and experienced engineers with a wide breadth of knowledge across the full hardware and software stack. You will be part of a team that practices Agile mindset/methodology to build scalable, testable, and maintainable software products. This position offers the opportunity to develop software solutions that directly solve real-world problems.
Responsibilities:
Building and setting up new development tools and infrastructure.
Working on ways to automate and improve development and release processes.
Develop, test and implement new software designs.
Manage product priorities, deadlines, and deliverables.
Demonstrate passion for learning and seek development opportunities for self and team.
Qualifications:
New college graduate with Bachelor or Masters Degree in Computer Science, Computer Engineering, Computer Security, or related field.
Proficient at least one of the following: Python, C#, Node.js, Ruby.
Passionate about software design and quality.
Strong understanding of modern software design best practices, including Agile/Scrum, Peer Programming, Test-Driven Development, Cucumber/Behave.
Must have experience via course work or previous internships in developing a significant software application using Web framework, HTML/CSS, JavaScript, SQL, Bitbucket/GIT or JSON/CML/YAML.
Strong written and verbal communication skills.
Strong problem-solving skills.
Excellent teamwork skills.
Self-starter/Accountable. Willing and able to quickly learn new applications and technologies.
Must be able legally work in the U.S. without requiring present/future sponsorship for employment.

Careers Privacy Statement

***Keysight is an Equal Opportunity Employer.***

Keysight Technologies Inc. is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other protected categories under all applicable laws.
Show less",4.1,WebCreek,"Colorado Springs, CO",10000+ Employees,2014,Company - Public,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
Junior Front End Engineer,$80K - $120K (Employer est.),"About minware
minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives.
Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40.
minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience.
The Role
As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software.
We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal.
Primary Responsibilities
Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience
Work closely with product managers and customers to define minware's capabilities
Perform code reviews, unit testing, and continuous integration to maintain code quality standards
Manage a backlog of tech debt reduction and internal efficiency improvements
Qualifications
Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming
Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers
Well-versed in agile or lean planning and project management processes
Proficiency in Figma, HTML, and CSS
Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred
Benefits and Perks
Competitive base salary, bonus, and seed-stage equity compensation
100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.)
Full health care premium coverage for you and your family
Unique career development guidance reporting directly to the founder/CEO
We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise.
Base Compensation:
$80,000—$120,000 USD
Show less",3.9,WebCreek,Remote,1 to 50 Employees,--,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Software Engineer Co-Op,$35.00 Per Hour (Employer est.),"A pioneer in K–12 education since 2000, Amplify is leading the way in next-generation curriculum and assessment. Our core and supplemental programs in ELA, math, and science engage all students in rigorous learning and inspire them to think deeply, creatively, and for themselves. Our formative assessment products help teachers identify the targeted instruction students need to build a strong foundation in early reading and math. All of our programs provide educators with powerful tools that help them understand and respond to the needs of every student. Today, Amplify serves more than 10 million students in all 50 states. For more information, visit amplify.com.
Amplify is a leader in creating immersive, rigorous digital learning experiences that look great, play great, and help students expect great things of themselves. Amplify has been described as the best tech company in education, and the best education company in tech.
As a CoOp at Amplify, you will join a talented team tackling the toughest problems in education with the best ideas in technology – including user experience, APIs and services, data analysis, and deployment pipelines.
Amplify’s COVID-19 vaccination policy requires all staff to provide proof of vaccination for in-person meetings unless an approved exemption is provided.
What You’ll Do
Impress the toughest customers around – students – by:
building engaging, quirky, fast frontends using frameworks like React
ensuring an equitable experience for students by implementing code that runs great across platforms under variable memory and network constraints
Make life better for passionate teachers by:
improving apps reliability and uptime
monitoring apps to make sure they are available to teachers and classrooms
building well structured and documented APIs so that our apps can interoperate with ease
frequently and confidently shipping improvements from your laptop to classrooms
Help school administrators build great schools by:
building software that respects privacy and ensures security while offering useful insights
analyzing performance and squashing tricky bugs using tools like DataDog or AWS CloudWatch
Learn every day by:
Collaboration and having your code reviewed on a cross-functional team
participating in cross-team share-outs, brownbags, and workshop series
Writing automated tests that validate working code
Example Projects You Might Work On
Crafting immersive compelling experiences for teachers and students using the latest web tools.
Implementing logic that handles student work: from persistence to selecting the right activity for the right student at the right moment.
Optimizing software so that it can handle hundreds of thousands of kids with stability and security in mind.
Ensuring existing software continues to function well.
Improving our workflows and tooling, and of course our existing customer experience.

Basic Requirements of the Software Engineer CoOp:
A background in computer science fundamentals including algorithms and data structures
Experience with Java, Python, or another object-oriented language and the ability to quickly learn a new language
Familiarity with relational databases
Familiarity with web application development
Ability to work with a close-knit team and to both give and receive constructive feedback
Strong communication skills
An interest in the education landscape and how to improve it

What we offer:

This role is eligible for participation in a lucrative 401(k) plan. The gross hourly rate for this role is $35.00
We celebrate diversity and are committed to creating an inclusive environment for all employees. To that end, we seek to recruit, develop and retain the most talented people from a diverse candidate pool.
Amplify is an Equal Opportunity Employer of Minorities, Females, Protected Veterans and Individuals with Disabilities.

This position may be funded, in whole or in part, through American Recovery & Reinvestment Act funds.
Amplify Education, Inc. is an E-Verify participant.
Show less",3.9,WebCreek,Remote,201 to 500 Employees,2000,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD)
Software Quality Assurance Engineer - Entry Level,$60K - $65K (Employer est.),"Discover the feelings of Camaraderie and Family while being technically challenged to grow!

Responsibilities:

Assist in ensuring the quality of dynamic Enterprise Web and Mobile applications in Cyber Security, Supply Chain/Logistics, or Finance built by your teammates for a variety of clients like Verizon, Capital One, and Cardinal Health in small teams. Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of your work on a daily basis.

Desired Skills/Traits:
STRONG Communication skills - never hesitates to ask questions to fully understand
Technical background/knowledge - Very computer/online literate
Ability and DESIRE to learn New Technologies quickly
High Energy / Attitude - need to move fast
Creative Problem Solving.
FREE catered lunch DAILY. Stipend ($50/week) provided during COVID work from home.
Paid Training (CodeAcademy, Coursera, NoFluffJustStuff, Google DevFest, pre-paid courses, mentoring).
FREE snacks/drinks - Multiple varieties of soft drinks, juices, coffee, tea, Gatorade, beer, wine & regular social gatherings.

EAI has NEVER HAD LAYOFFS from its beginnings in 2001. We have carried our folks through multiple tough economic cycles (2002, 2009/10, current pandemic) and will continue to do so!

We are growing and looking for individuals who want to be part of a fun, passionate, and highly accomplished team with Hackathons and regular events like Poker and Movie Night to keep the spirits alive. Combine that with daily catered lunch from such restaurants as Cava, Chipotle, La Plaka, Jason’s Deli, and Shake Shack and you can see that we strive to foster a family-friendly culture that emphasizes teamwork, camaraderie, and openness.
Come experience why so many employees have been with EAI for 5 to 10+ years and continue to make it their home as the EAI Family expands.
9fZhMKFkIW
Show less",4.4,WebCreek,"Vienna, VA",1 to 50 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD)
SOFTWARE ENGINEER (REMOTE),$89K - $126K (Glassdoor est.),"Position Purpose:
The Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.

Key Responsibilities:
60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances
20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels
20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of people

Direct Manager/Direct Reports:
This position typically reports to Software Engineer Manager or Sr. Manager
This position has 0 Direct Reports

Travel Requirements:
No travel required.

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Working Conditions:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.
Show less",3.8,WebCreek,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
"Software Quality Assurance Engineer, Document Systems",-1,"What to Expect
Tesla is looking for extraordinary talent with a passion for innovation and quality. You will continuously design creative ways to break software and identify potential bugs. You will be responsible for driving test development of Tesla services and distributed systems. Come join us and learn from the best while transforming your career. As a QA Engineer, you will be an agile architect in the design, development, and support of the most visible Internet-scale features and infrastructures at Tesla.
What You’ll Do
Design and develop advanced test suites using object-oriented methodologies
Implement and execute test strategies on all supported platforms and languages to help improve overall quality and test code coverage
Should be able to do both functional and Automation
Write backend integration tests and tests for RESTful APIs
Develop frameworks and automated test cases using Selenium and Python
Design and develop integration, regression, and stress tests using industry standard tools
Collaborate with Business Analyst and Developers to understand requirements and translate them into test cases
Define, implement, and maintain test plans, test specifications and test suites
Provide technical leadership, driving and performing engineering best practices to initiate, plan, and execute large-scale, cross-functional, and company-wide critical programs
What You’ll Bring
Bachelor's Degree in Computer Science or related technical discipline, or equivalent experience
Experience with one or more of the following: Ruby, Python, JavaScript, Java, and/or C#
Working knowledge of test methodologies, processes, and tools (Selenium, Python or any programming language, Appium, JIRA, STLC, Test Management tool –ALM , Zephyr)
Knowledge of relational databases/SQL
Experience working with client-server architectures and automation
Experience working with black box/grey box testing
Evidence of exceptional ability
Show less",3.6,WebCreek,"Draper, UT",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD)
